,sms,label,cleaned
2862,"I am not at all happy with what you saying or doing
",0,happi say
2306,"Still in the area of the restaurant. Ill try to come back soon
",0,still area restaur ill tri come back soon
3439,"Its good to hear from you
",0,good hear
4160,"Now got tv 2 watch meh? U no work today?
",0,got tv watch meh u work today
2108,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?
",0,hmmm imagin v come home rub feet make dinner help get readi date sure readi kind life
4307,"Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
",0,awww dat sweet think someth nice time tonight ill probabl txt u later co im lone xxx
2394,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. 
",0,okey doke home dress co lay around ill speak later bout time stuff
37,"I see the letter B on my car
",0,see letter b car
23,"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
",0,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
3895,"Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
",1,dear dave thi final notic collect tenerif holiday cash award call landlin tc sae box cw wx ppm
5019,"Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
",0,babe talk think good boy miss love
1949,"I cant pick the phone right now. Pls send a message
",0,cant pick phone right pl send messag
1872,"Dont know supports ass and srt i thnk. I think ps3 can play through usb too
",0,dont know support ass srt thnk think ps play usb
2087,"Dude how do you like the buff wind.
",0,dude like buff wind
4217,"Er mw im filled tuth is aight
",0,er mw im fill tuth aight
464,"Sorry, I'll call later ok bye
",0,sorri call later ok bye
307,"Jos ask if u wana meet up?
",0,jo ask u wana meet
5279,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...
",0,best msg hard person u know one step foward make u fall love amp one step back ruin ur friendship good night
1116,"So lets make it saturday or monday as per convenience.
",0,let make saturday monday per conveni
1918,"We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
",0,leav yet ok lor go elsewh n eat u thk
2902,"Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
",1,ur cash bal current pound maxim ur cash send cash onli p msg cc po box tcr w
4604,"And I don't plan on staying the night but I prolly won't be back til late
",0,plan stay night prolli back til late
3680,"Stupid.its not possible
",0,stupid possibl
920,"Dont talk to him ever ok its my word.
",0,dont talk ever ok word
4183,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or Â£10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+
",1,urgent plea call abta complimentari spanish holiday cash await collect sae c box po ez ppm
424,"URGENT! Your Mobile number has been awarded with a Â£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
",1,urgent mobil number ha award prize guarante call land line claim valid hr onli
1060,"EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN Â£100 Cash WKENT/150P16+
",1,eastend tv quiz flower doe dot compar violet e tulip f lili txt e f chanc win cash wkent p
2286,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do
",0,hi wkend ok journey terribl wk good huge back log mark
791,"This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola
",0,thi hope enjoy game yesterday sorri v touch pl know fondli bein thot great week abiola
1173,"Happy new years melody!
",0,happi new year melodi
2884,"Anything lor is she coming?
",0,anyth lor come
2480,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007
",1,sppok ur mob halloween collect nokia logo p messag plu free eeri tone txt card spook
4174,"Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
",0,ok said v got wisdom teeth hidden insid n mayb need remov
4350,"Ã bot notes oredi... Cos i juz rem i got...
",0,bot note oredi co juz rem got
1734,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive Â£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....
",1,hi thi mandi sullivan call hotmix fm chosen receiv easter prize draw plea telephon claim befor prize transfer someon els
5034,"* Was really good to see you the other day dudette, been missing you!
",0,wa realli good see day dudett miss
2134,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.
",0,spoke uncl john today strongli feel need sacrif keep go call beg listen dont make ani promi make clear thing easi need plea let us work thing long keep expect help creativ stifl pl keep happi promi part
4885,"For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.
",0,mani thing antibiot use chest abdomen gyna infect even bone infect
861,"In work now. Going have in few min.
",0,work go min
5368,"A Â£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a Â£400 reward. Just call 09066380611
",1,xma reward wait comput ha randomli pick loyal mobil custom receiv reward call
4146,"Lol I would but despite these cramps I like being a girl.
",0,lol would despit cramp like girl
5328,"What makes you most happy?
",0,make happi
1364,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.
",0,yetund sorri moji seem busi abl go shop plea find way get want us get plea forgiv repli free via yahoo messeng
2927,"Im done. Just studyn in library
",0,im done studyn librari
877,"Are you in castor? You need to see something
",0,castor need see someth
4177,"He's in lag. That's just the sad part but we keep in touch thanks to skype
",0,lag sad part keep touch thank skype
3896,"Yes. Last  practice
",0,ye last practic
3246,"Its ok, if anybody asks abt me, u tel them..:-P
",0,ok anybodi ask abt u tel p
867,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter
",0,consid wall bunker shit import becau never play peac guess place high enough matter
1986,"The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.
",0,length e e top shorter n got fring thk go liao lazi dun wan distract u also
1878,"This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! 
",0,thi pen thing beyond joke wont biro master thi ever
3233,"Guess he wants alone time. We could just show up and watch when they do..
",0,guess want alon time could show watch
3019,"I didn't get the second half of that message
",0,get second half messag
2190,"Yup i shd haf ard 10 pages if i add figures... Ã all got how many pages?
",0,yup shd haf ard page add figur got mani page
4184,"Sorry, I'll call later in meeting
",0,sorri call later meet
1169,"Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
",0,ok bu come soon come otherwi tomorrow
1350,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 Â£3/wk
",1,free day sexi st georg day pic jordan txt pic dont miss everi wk sauci celeb pic c pocketbab co uk wk
3340,"Babe !!!! I LOVE YOU !!!! *covers your face in kisses*
",0,babe love cover face kiss
1699,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.
",1,free msg sorri servic order could deliv suffici credit plea top receiv servic
4913,"I am on the way to tirupur.
",0,way tirupur
4382,"Mathews or tait or edwards or anderson
",0,mathew tait edward anderson
1389,"Oh k.i think most of wi and nz players unsold.
",0,oh k think wi nz player unsold
120,"PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
",1,privat account statement show unredeem bonu point claim call identifi code expir
2844,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola.
",0,tunji queen thi wish great day abiola
2578,"Hey whats up? U sleeping all morning?
",0,hey u sleep morn
3053,"Please leave this topic..sorry for telling that..
",0,plea leav thi topic sorri tell
4460,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123
",1,welcom uk mobil thi msg free give free call futur mg bill p daili cancel send go stop
4358,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ
",0,hellogorg u fone wa charg lst nitw wen u texd hopeu ad nice wkend im sure u lookin ward c u mrw luv jaz
2532,"What's happening with you. Have you gotten a job and have you begun registration for permanent residency
",0,happen gotten job begun registr perman resid
3078,"There is no sense in my foot and penis.
",0,sen foot peni
4432,"2mro i am not coming to gym machan. Goodnight.
",0,mro come gym machan goodnight
1290,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May
",0,hey great deal farm tour pm pax deposit may
921,"When u wana see it then
",0,u wana see
4353,"Hows the pain dear?y r u smiling?
",0,pain dear r u smile
5493,"U studying in sch or going home? Anyway i'll b going 2 sch later.
",0,u studi sch go home anyway b go sch later
98,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""
",0,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand doe cau prob u
4992,"We made it! Eta at taunton is 12:30 as planned, hope thatâs still okday?! Good to see you! :-xx
",0,made eta taunton plan hope still okday good see xx
5043,"Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
",1,jamster get free wallpap text heart c appli need help call
916,"I could ask carlos if we could get more if anybody else can chip in
",0,could ask carlo could get anybodi el chip
2661,"Want to finally have lunch today?
",0,want final lunch today
5477,"Dhoni have luck to win some big title.so we will win:)
",0,dhoni luck win big titl win
5021,"It's cool, we can last a little while. Getting more any time soon?
",0,cool last littl get ani time soon
1880,"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
",1,u secret admir look make contact u find r reveal think ur special cal
3037,";-) ok. I feel like john lennon.
",0,ok feel like john lennon
2535,"Ok enjoy . R u there in home.
",0,ok enjoy r u home
604,"Be happy there. I will come after noon
",0,happi come noon
4012,"Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!
",1,plea call custom servic repr freephon pm guarant cash prize
2667,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember.
",0,wa nice day impress wa sensibl went home earli feel fine bore rememb
4399,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.
",0,tell shola plea go colleg medicin visit academ depart tell academ secretari current situat ask transfer ask someon check sagamu thing lautech vital complet medic educ nigeria less expen much less expens unless get citizen rate new zealand
284,"Okie...
",0,oki
4379,"Doing nothing, then u not having dinner w us?
",0,noth u dinner w us
4863,"**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270
",1,free messag thank use auction subscript servic p msgrcvd skip auction txt unsubscrib txt stop customercar
1028,"Are you not around or just still asleep? :V
",0,around still asleep v
3056,"EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN Â£100 Cash WKENT/150P16+
",1,eastend tv quiz flower doe dot compar violet e tulip f lili txt e f chanc win cash wkent p
125,"Ã predict wat time Ã¼'ll finish buying?
",0,predict wat time finish buy
4254,"Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
",0,juz havent woke bit blur blur dad went liao cant cum oso
4860,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?
",0,hey guy know breath neck get bud anyway abl get half track usf tonight
4279,"I've reached home finally...
",0,v reach home final
3114,"Wat time liao, where still got.
",0,wat time liao still got
1959,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite
",0,lol oh babe wont slide place midnight thank invit
5534,"happened here while you were adventuring
",0,happen adventur
3617,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb
",0,plea ask macho hi price rang doe want someth new use plu onli interfu blackberri bold lt gt ani bb
2793,"Well there's still a bit left if you guys want to tonight
",0,well still bit left guy want tonight
4151,"I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
",0,onli work mon thur sat cant leh book liao day u free
4546,"Never y lei... I v lazy... Got wat? Dat day Ã¼ send me da url cant work one...
",0,never lei v lazi got wat dat day send da url cant work one
4668,"I send the print  outs da.
",0,send print da
29,"Ahhh. Work. I vaguely remember that! What does it feel like? Lol
",0,ahhh work vagu rememb doe feel like lol
300,"Need a coffee run tomo?Can't believe it's that time of week already
",0,need coff run tomo believ time week alreadi
11,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
",1,six chanc win cash pound txt csh send cost p day day tsandc appli repli hl info
670,"Did u receive my msg?
",0,u receiv msg
665,"Yes baby! We can study all the positions of the kama sutra ;)
",0,ye babi studi posit kama sutra
469,"Yup, no need. I'll jus wait 4 e rain 2 stop.
",0,yup need ju wait e rain stop
4875,"Wat happened to the cruise thing
",0,wat happen crui thing
4666,"Ok set let u noe e details later...
",0,ok set let u noe e detail later
2132,"S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
",0,train manual show tech process password reset troubleshoot
5144,"Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
",0,start dont stop pray good idea anyth see help guy forward link
2801,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..
",0,hous maid murder coz man wa murder lt gt th januari public holiday govt instituit close includ post offic
4010,"Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel 
",0,ha must walk everywher cannot take tram cousin said walk vic market hotel
1325,"Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
",0,call plz number show coveragd area urgnt call vasai amp reach befor clock call plz
4305,"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?
",0,good good billi mate gone jog enjoy concert
2652,"Text me when you get off, don't call, my phones having problems
",0,text get call phone problem
3761,"We'll join the  &lt;#&gt;  bus
",0,join lt gt bu
4269,"Hey so whats the plan this sat? 
",0,hey plan thi sat
5318,"Jus finish watching tv... U?
",0,ju finish watch tv u
2202,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""
",0,boy wa late home hi father power frndship
3498,"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served
",0,oh grand bit parti mention ani cover charg probabl first come first serv
4844,"I need details about that online job.
",0,need detail onlin job
3542,"If you are not coughing then its nothing
",0,cough noth
2317,"That's cause your old. I live to be high.
",0,cau old live high
51,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;
",0,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
3850,"U in town alone?
",0,u town alon
517,"Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
",1,boltblu tone p repli poli mono eg poli cha cha slide yeah slow jamz toxic come stop tone txt
773,"idc get over here, you are not weaseling your way out of this shit twice in a row
",0,idc get weasel way thi shit twice row
689,"Thanks love. But am i doing torch or bold.
",0,thank love torch bold
693,"My sister in law, hope you are having a great month. Just saying hey. Abiola
",0,sister law hope great month say hey abiola
571,"Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
",0,yar lor wait mum finish sch lunch lor whole morn stay home clean room room quit clean hee
2533,"Yup ok...
",0,yup ok
1311,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.
",0,alway even spirit get bb soon tri sure need
1794,"You bad girl. I can still remember them
",0,bad girl still rememb
973,"Yup i thk so until e shop closes lor.
",0,yup thk e shop close lor
1540,"You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
",0,r sure tri make xavier smoke becau want smoke told smoke much
544,"4 oclock at mine. Just to bash out a flat plan.
",0,oclock mine bash flat plan
3544,"I'm e person who's doing e sms survey...
",0,e person e sm survey
2129,"Well I'm going to be an aunty!
",0,well go aunti
2601,"As usual..iam fine, happy &amp; doing well..:)
",0,usual iam fine happi amp well
1119,"I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.
",0,go lunch wif famili aft dat go str orchard lor
4765,"Hi.:)technical support.providing assistance to us customer through call and email:)
",0,hi techn support provid assist us custom call email
5054,"Lmao you know me so well...
",0,lmao know well
2348,"But i dint slept in afternoon.
",0,dint slept afternoon
3102,"Pathaya enketa maraikara pa'
",0,pathaya enketa maraikara pa
1853,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate 
",1,thi nd time tri contact u u pound prize claim easi call onli p per min bt nation r
2721,"Ok lor...
",0,ok lor
3074,"Somebody should go to andros and steal ice
",0,somebodi go andro steal ice
4777,"Quite lor. But dun tell him wait he get complacent...
",0,quit lor dun tell wait get complac
2383,"I will reach before ten morning
",0,reach befor ten morn
8,"WINNER!! As a valued network customer you have been selected to receivea Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
",1,winner valu network custom select receivea prize reward claim call claim code kl valid hour
1097,"Dear Subscriber ur draw 4 Â£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
",1,dear subscrib ur draw gift voucher b enter receipt correct an wa elvi presley birthday txt answer
2216,"Prabha..i'm soryda..realy..frm heart i'm sory
",0,prabha soryda reali frm heart sori
1428,"THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
",0,thing r good thanx got exam march ive done revis fran still boyf ive gotta interviw exet bit worri x
1480,"My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
",0,trip wa ok quit tire lor uni start today ok co take ani modul ju concentr final yr project
5038,"(You didn't hear it from me)
",0,hear
4232,"U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
",0,u realli pig leh sleep much dad wake smth eat lunch today
1269,"Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx CallsÂ£1/minmoremobsEMSPOBox45PO139WA
",1,u get phone wanna chat set meet call u cum moro luv jane xx call minmoremobsemspobox po wa
4367,"Mm yes dear look how i am hugging you both. :-P
",0,mm ye dear look hug p
4020,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at Â£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS
",1,u v select stay top british hotel noth holiday valu dial claim nation rate call bx sw ss
3601,"I know you mood off today
",0,know mood today
3338,"I AM AT THE GAS STATION. GO THERE.
",0,ga station go
2130,"Mine here like all fr china then so noisy.
",0,mine like fr china noisi
964,"Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
",0,yo chad gymnast class wanna take site say christian class full
2100,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE
",1,sm servic inclu text credit pl goto www comuk net login unsubscrib stop extra charg help po box ip
3683,"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnÂt make ur bÂday 2 hun!
",0,hello hello hi lou sorri took long repli left mobil friend lancast got bak neway im sorri make ur b day hun
2003,"TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...
",1,themob yo yo yo come new select hot download member get free click open next link sent ur fone
1470,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear
",0,wonder world th th ur style th ur smile th ur person rd ur natur nd ur sm st ur love friendship good morn dear
2967,"Are you being good, baby? :)
",0,good babi
2841,"BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...
",0,babe miiiiiiissssssssss need crave geeee sad without babe love
2729,"Urgent Please call 09066612661 from landline. Â£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ â
",1,urgent plea call landlin cash luxuri canari island holiday await collect c sae award aq ppm
5240,"Yeah I can still give you a ride
",0,yeah still give ride
1797,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone
",0,hey tell blake address carlo want meet got lost answer hi phone
4719,"My uncles in Atlanta. Wish you guys a great semester.
",0,uncl atlanta wish guy great semest
4837,"Yay can't wait to party together!
",0,yay wait parti togeth
2449,"Do u knw dis no. &lt;#&gt; ?
",0,u knw di lt gt
718,"Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
",0,book lesson msg call work sth go get spec membership px
4393,"what are your new years plans?
",0,new year plan
5198,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic 
",1,spook mob halloween collect logo pic messag plu free eeri tone txt card spook zed p per logo p
3007,"Also hi wesley how've you been
",0,also hi wesley v
2855,"Haha... Hope Ã¼ can hear the receipt sound... Gd luck!
",0,haha hope hear receipt sound gd luck
567,"Oooh bed ridden ey? What are YOU thinking of?
",0,oooh bed ridden ey think
3041,"One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..
",0,one day crab wa run sea shore th wave came n clear footprint crab crab ask frnd r u clear beauti footprint wave repli fox wa follow ur footprint catch clear frndsship never let u dwn gud nyt
3952,"Hi dude hw r u da realy mising u today
",0,hi dude hw r u da reali mise u today
3707,"Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-)
",0,read gud habit nan bari hudgi yorg pataistha ertini kano
2554,"Ã give me some time to walk there.
",0,give time walk
2418,"Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... 
",0,oh lk tt den take e one tt end cine lor dun wan yogasana oso
5104,"This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com
",1,thi msg mobil content order ha resent previou attempt fail due network error queri customersqueri netvis uk com
2431,"How was txting and driving
",0,wa txting drive
4671,"I didnt get ur full msg..sometext is missing, send it again
",0,didnt get ur full msg sometext miss send
198,"is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
",0,hamster dead hey tmr meet pm orchard mrt
1613,"RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
",1,rt king pro video club need help info ringtonek co uk call must club credit redeem www ringtonek co uk enjoy
1546,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?
",0,good afternoon love ani job prospect miss lazi bleak hmmm happi fill love
1137,"Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
",1,dont forget place mani free request stchoic co uk wish inform call
949,"Chk in ur belovd ms dict
",0,chk ur belovd ms dict
1170,"Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil
",0,msg r time pass silent say think u right also make u think least moment gd nt swt drm shesil
5550,"No, I was trying it all weekend ;V
",0,wa tri weekend v
3686,"Wake me up at  &lt;#&gt;  am morning:)
",0,wake lt gt morn
332,"Maybe i could get book out tomo then return it immediately ..? Or something.
",0,mayb could get book tomo return immedi someth
4794,"Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.
",0,u ask next sat make ok lor
4433,"Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks
",0,dont think need yellow card uk travel ask someon ha gone lt gt buck
3877,"did u get that message
",0,u get messag
4744,"I am in hospital da. . I will return home in evening
",0,hospit da return home even
3939,"WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!
",0,first strike red one bird antelop begin toplay fieldof selfindepend believ thi flower content grow random
